Unnamed: 0,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location,location
316,2016 Maruti Baleno,ALPHA PETROL 1.2,Manual,"1,00,894 km",1st Owner,Petrol,KA-05,"11,574/month","5,92,000","Horamavu Agara Road, Bengaluru",Bangalore
317,2021 Volkswagen Vento,HIGHLINE PLUS 1.0L TSI AT,Automatic,"35,407 km",1st Owner,Petrol,KA-01,"23,907/month","12,56,000","Bellahalli, Bengaluru",Bangalore
318,2017 Honda City,1.5L I-VTEC VX,Manual,"53,295 km",2nd Owner,Petrol,KA-30,"13,939/month","7,13,000","Horamavu Agara Road, Bengaluru",Bangalore
319,2015 Hyundai Elite i20,ASTA 1.4 CRDI,Manual,"83,731 km",2nd Owner,Diesel,KA-51,"11,867/month","6,07,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
320,2016 Hyundai Elite i20,ASTA 1.2 (O),Manual,"91,660 km",1st Owner,Petrol,KA-01,"12,219/month","6,25,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
321,2018 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"15,147 km",1st Owner,Petrol,KA-01,"11,789/month","6,03,000","Hosur Road, Singasandra, Bengaluru",Bangalore
322,2020 Maruti New Wagon-R,ZXI 1.2 AMT,Automatic,"33,793 km",2nd Owner,Petrol,KA-53,"11,965/month","6,12,000","Bellahalli, Bengaluru",Bangalore
323,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"71,570 km",2nd Owner,Petrol,KA-41,"16,940/month","8,90,000","Sonnappanahalli
",Bangalore
324,2018 Hyundai NEW SANTRO,SPORTZ AMT,Automatic,"38,985 km",1st Owner,Petrol,KA-50,"10,577/month","5,41,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
325,2018 Ford Ecosport,TREND+ 1.5L DIESEL,Manual,"36,261 km",3rd Owner,Diesel,KA-03,"14,389/month","7,36,000","GT World Mall, Bengaluru",Bangalore
326,2020 Tata NEXON,XM DIESEL,Manual,"27,750 km",1st Owner,Diesel,KA-03,"17,435/month","9,16,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
327,2016 Honda City,1.5L I-VTEC VX CVT,Automatic,"1,10,941 km",2nd Owner,Petrol,KA-03,"13,568/month","6,94,000","GT World Mall, Bengaluru",Bangalore
328,2019 Toyota Glanza,V CVT,Automatic,"29,335 km",2nd Owner,Petrol,KA-02,"15,366/month","7,86,000","Bellahalli, Bengaluru",Bangalore
329,2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"34,780 km",2nd Owner,Petrol,KA-04,"10,010/month","5,12,000","Bellahalli, Bengaluru",Bangalore
330,2015 Hyundai Elite i20,ASTA 1.2,Manual,"59,470 km",1st Owner,Petrol,KA-05,"11,691/month","5,98,000","Bellahalli, Bengaluru",Bangalore
331,2018 Maruti Swift,VXI,Manual,"36,789 km",1st Owner,Petrol,KA-51,"12,708/month","6,50,000","Bellahalli, Bengaluru",Bangalore
332,2017 Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,"33,623 km",2nd Owner,Petrol,KA-04,"10,303/month","5,27,000","Bellahalli, Bengaluru",Bangalore
333,2015 Honda City,1.5L I-VTEC SV CVT,Automatic,"94,947 km",1st Owner,Petrol,KA-03,"11,476/month","5,87,000","GT World Mall, Bengaluru",Bangalore
334,2016 Honda Jazz,1.2L I-VTEC V,Manual,"68,576 km",1st Owner,Petrol,KA-02,"11,789/month","6,03,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
335,2017 Hyundai Verna,1.6 CRDI SX,Manual,"60,988 km",1st Owner,Diesel,KA-41,"16,807/month","8,83,000","Hosur Road, Singasandra, Bengaluru",Bangalore
336,2016 Hyundai Verna,1.6 VTVT SX AT,Automatic,"34,108 km",1st Owner,Petrol,KA-04,"14,154/month","7,24,000","GT World Mall, Bengaluru",Bangalore
337,2011 Maruti Alto K10,VXI,Manual,"37,681 km",3rd Owner,Petrol,KA-19,"4,379/month","2,24,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
338,2016 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,Manual,"53,814 km",1st Owner,Petrol,KA-02,"9,756/month","4,99,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
339,2015 Maruti Alto 800,LXI,Manual,"62,554 km",1st Owner,Petrol,KA-50,"5,415/month","2,77,000","Hosur Road, Singasandra, Bengaluru",Bangalore
340,2016 Maruti Swift Dzire,VXI (O) AT,Automatic,"31,458 km",2nd Owner,Petrol,KA-03,"11,183/month","5,72,000","Horamavu Agara Road, Bengaluru",Bangalore
341,2012 Honda Brio,S MT,Manual,"29,320 km",1st Owner,Petrol,KA-03,"7,253/month","3,71,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
342,2017 Maruti Dzire,VXI,Manual,"43,525 km",1st Owner,Petrol,KA-05,"12,043/month","6,16,000","Horamavu Agara Road, Bengaluru",Bangalore
343,2022 Maruti Dzire,VXI,Manual,"6,324 km",1st Owner,Petrol,KA-51,"15,562/month","7,96,000","Bellahalli, Bengaluru",Bangalore
344,2017 Ford Ecosport,TREND 1.5L PETROL,Manual,"53,917 km",1st Owner,Petrol,KA-51,"12,727/month","6,51,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
345,2017 Honda City,1.5L I-VTEC ZX CVT,Automatic,"72,016 km",1st Owner,Petrol,KA-01,"17,854/month","9,38,000","Bellahalli, Bengaluru",Bangalore
346,2015 Hyundai Eon,ERA +,Manual,"1,09,923 km",1st Owner,Petrol,KA-09,"5,239/month","2,68,000","Hosur Road, Singasandra, Bengaluru",Bangalore
347,2016 Maruti Ciaz,ZXI,Manual,"72,136 km",2nd Owner,Petrol,KA-03,"13,470/month","6,89,000","Bellahalli, Bengaluru",Bangalore
348,2015 Maruti Swift Dzire,ZXI,Manual,"17,811 km",1st Owner,Petrol,KA-53,"13,001/month","6,65,000","Sonnappanahalli
",Bangalore
349,2014 Honda Amaze,1.5L I-DTEC S,Manual,"80,519 km",3rd Owner,Diesel,KA-50,"7,507/month","3,84,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
350,2017 Maruti Alto K10,VXI,Manual,"27,720 km",2nd Owner,Petrol,KA-19,"6,667/month","3,41,000","Hosur Road, Singasandra, Bengaluru",Bangalore
351,2012 Maruti Wagon R 1.0,VXI,Manual,"75,761 km",2nd Owner,Petrol,KA-51,"5,689/month","2,91,000","Bellahalli, Bengaluru",Bangalore
352,2012 Hyundai i20,ERA 1.4 CRDI,Manual,"40,562 km",1st Owner,Diesel,KA-51,"8,700/month","4,45,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
353,2020 Tata ALTROZ,XZ PETROL,Manual,"40,742 km",1st Owner,Petrol,KA-02,"14,565/month","7,45,000","Hosur Road, Singasandra, Bengaluru",Bangalore
354,2019 Honda Jazz,1.2L I-VTEC VX CVT,Automatic,"32,790 km",2nd Owner,Petrol,KA-05,"15,190/month","7,77,000","Bellahalli, Bengaluru",Bangalore
355,2019 Honda Amaze,1.5L I-DTEC VX CVT,Automatic,"22,980 km",1st Owner,Diesel,KA-05,"17,226/month","9,05,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
356,2022 Maruti New Wagon-R,ZXI 1.2,Manual,"29,074 km",1st Owner,Petrol,KA-11,"12,395/month","6,34,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
357,2014 Hyundai i20,SPORTZ 1.2,Manual,"55,836 km",1st Owner,Petrol,KA-01,"9,521/month","4,87,000","Horamavu Agara Road, Bengaluru",Bangalore
358,2018 Skoda Rapid,AMBITION 1.6 MPI AT,Automatic,"45,047 km",1st Owner,Petrol,KA-51,"15,646/month","8,22,000","Bellahalli, Bengaluru",Bangalore
359,2011 Maruti Alto K10,VXI,Manual,"25,928 km",1st Owner,Petrol,KA-05,"4,848/month","2,48,000","Hosur Road, Singasandra, Bengaluru",Bangalore
360,2015 Honda Jazz,1.2L I-VTEC V AT,Automatic,"55,412 km",1st Owner,Petrol,KA-09,"11,007/month","5,63,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
361,2017 Renault Duster,RXL PETROL,Manual,"38,520 km",1st Owner,Petrol,KA-41,"15,034/month","7,69,000","Bellahalli, Bengaluru",Bangalore
362,2019 Tata NEXON,XZA PLUS PETROL,Automatic,"77,243 km",1st Owner,Petrol,KA-51,"17,016/month","8,94,000","GT World Mall, Bengaluru",Bangalore
363,2016 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"46,894 km",3rd Owner,Petrol,KA-01,"8,954/month","4,58,000","Hosur Road, Singasandra, Bengaluru",Bangalore
364,2019 Maruti Celerio,VXI AMT,Automatic,"20,017 km",1st Owner,Petrol,KA-51,"10,147/month","5,19,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
365,2015 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,Manual,"49,479 km",3rd Owner,Petrol,KA-51,"8,367/month","4,28,000","Bellahalli, Bengaluru",Bangalore
366,2018 Hyundai Verna,1.6 CRDI SX,Manual,"49,792 km",2nd Owner,Diesel,KA-53,"18,672/month","9,81,000","Horamavu Agara Road, Bengaluru",Bangalore
367,2021 Renault Kwid,CLIMBER 1.0 (O),Manual,"6,200 km",1st Owner,Petrol,KA-19,"11,202/month","5,73,000","Horamavu Agara Road, Bengaluru",Bangalore
368,2021 Hyundai NEW I20,ASTA (O) 1.0 TURBO GDI DCT,Automatic,"29,202 km",1st Owner,Petrol,KA-05,"20,462/month","10,75,000","Bellahalli, Bengaluru",Bangalore
369,2010 Honda Jazz,1.2 BASE I VTEC,Manual,"90,448 km",2nd Owner,Petrol,KA-51,"6,354/month","3,25,000","Bellahalli, Bengaluru",Bangalore
370,2014 Hyundai Xcent,SX AT 1.2 (O),Automatic,"1,02,196 km",1st Owner,Petrol,KA-01,"8,211/month","4,20,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
371,2015 Maruti Swift,VXI,Manual,"85,038 km",1st Owner,Petrol,KA-04,"10,205/month","5,22,000","Bellahalli, Bengaluru",Bangalore
372,2022 Toyota Glanza,V,Manual,"12,786 km",1st Owner,Petrol,KA-03,"17,892/month","9,40,000","Bellahalli, Bengaluru",Bangalore
373,2021 Maruti Swift,VXI,Manual,"48,628 km",1st Owner,Petrol,KA-05,"13,529/month","6,92,000","Sonnappanahalli
",Bangalore
374,2020 Maruti Alto,LXI OPT CNG,Manual,"75,591 km",1st Owner,CNG,KA-17,"8,231/month","4,21,000","Bellahalli, Bengaluru",Bangalore
375,2022 Volkswagen VIRTUS,TOPLINE TSI 1.0 AT,Automatic,"11,880 km",1st Owner,Petrol,KA-09,"31,311/month","16,45,000","Bellahalli, Bengaluru",Bangalore
376,2020 Maruti New Wagon-R,ZXI 1.2 AMT,Automatic,"3,725 km",1st Owner,Petrol,KA-05,"12,708/month","6,50,000","Horamavu Agara Road, Bengaluru",Bangalore
377,2015 Maruti Swift,VDI ABS,Manual,"88,509 km",2nd Owner,Diesel,KA-25,"10,792/month","5,52,000","Bellahalli, Bengaluru",Bangalore
378,2011 Maruti Ritz,VXI,Manual,"84,623 km",1st Owner,Petrol,KA-04,"6,197/month","3,17,000","Hosur Road, Singasandra, Bengaluru",Bangalore
379,2022 KIA SELTOS,HTX 1.5 PETROL,Manual,"10,845 km",1st Owner,Petrol,KA-05,"27,752/month","14,58,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
380,2020 Tata ALTROZ,XZ PETROL,Manual,"45,295 km",1st Owner,Petrol,KA-51,"15,054/month","7,70,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
381,2021 Skoda Rapid,AMBITION AT TSI,Automatic,"29,517 km",1st Owner,Petrol,KA-51,"19,948/month","10,48,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
382,2016 Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,Automatic,"49,641 km",1st Owner,Petrol,KA-53,"10,792/month","5,52,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
383,2016 Maruti Celerio,ZXI,Manual,"15,437 km",2nd Owner,Petrol,KA-05,"9,071/month","4,64,000","Bellahalli, Bengaluru",Bangalore
384,2015 Honda Brio,S MT,Manual,"22,262 km",2nd Owner,Petrol,KA-03,"7,957/month","4,07,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
385,2019 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"81,881 km",1st Owner,Petrol,KA-13,"13,470/month","6,89,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
386,2018 Honda Amaze,1.2L I-VTEC V CVT,Automatic,"77,428 km",1st Owner,Petrol,KA-01,"13,431/month","6,87,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
387,2018 Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"17,026 km",2nd Owner,Petrol,KA-05,"12,160/month","6,22,000","Hosur Road, Singasandra, Bengaluru",Bangalore
388,2017 Hyundai Elite i20,ASTA 1.2 (O),Manual,"36,139 km",3rd Owner,Petrol,KA-41,"13,235/month","6,77,000","Horamavu Agara Road, Bengaluru",Bangalore
389,2016 Volkswagen Vento,HIGHLINE PETROL AT,Automatic,"48,079 km",2nd Owner,Petrol,KA-01,"14,584/month","7,46,000","Bellahalli, Bengaluru",Bangalore
390,2017 Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"17,574 km",1st Owner,Petrol,KA-02,"12,062/month","6,17,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
391,2019 Renault Kwid,CLIMBER 1.0 (O),Manual,"55,609 km",1st Owner,Petrol,KA-13,"8,856/month","4,53,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
392,2017 Maruti Swift,VXI O,Manual,"47,038 km",1st Owner,Petrol,KA-41,"11,730/month","6,00,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
393,2012 Honda City,1.5L I-VTEC S MT,Manual,"60,570 km",3rd Owner,Petrol,KA-03,"8,074/month","4,13,000","Sonnappanahalli
",Bangalore
394,2015 Maruti Alto K10,VXI P,Manual,"30,751 km",1st Owner,Petrol,KA-03,"6,178/month","3,16,000","Hosur Road, Singasandra, Bengaluru",Bangalore
395,2018 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"1,14,427 km",2nd Owner,Diesel,KA-09,"16,217/month","8,52,000","Bellahalli, Bengaluru",Bangalore
396,2018 Mahindra KUV 100 NXT,K8 P 6 STR,Manual,"32,207 km",1st Owner,Petrol,KA-05,"11,378/month","5,82,000","GT World Mall, Bengaluru",Bangalore
397,2013 Maruti Wagon R 1.0,VXI,Manual,"44,807 km",1st Owner,Petrol,KA-03,"6,940/month","3,55,000","Bellahalli, Bengaluru",Bangalore
398,2018 Maruti IGNIS,ALPHA 1.2 DUAL TONE,Manual,"5,458 km",1st Owner,Petrol,KA-03,"11,847/month","6,06,000","Bellahalli, Bengaluru",Bangalore
399,2020 Maruti Swift,VXI AMT,Automatic,"64,086 km",1st Owner,Petrol,KA-04,"13,783/month","7,05,000","Horamavu Agara Road, Bengaluru",Bangalore
400,2017 Hyundai Elite i20,ASTA 1.4 CRDI (O),Manual,"1,25,227 km",2nd Owner,Diesel,KA-03,"13,372/month","6,84,000","Bellahalli, Bengaluru",Bangalore
401,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"46,988 km",1st Owner,Petrol,KA-03,"9,052/month","4,63,000","GT World Mall, Bengaluru",Bangalore
402,2017 Maruti Alto 800,VXI O,Manual,"41,690 km",2nd Owner,Petrol,KA-53,"6,139/month","3,14,000","Horamavu Agara Road, Bengaluru",Bangalore
403,2021 Maruti New Wagon-R,VXI (O) 1.0,Manual,"11,679 km",1st Owner,Petrol,KA-03,"11,671/month","5,97,000","Sonnappanahalli
",Bangalore
404,2021 Hyundai NEW I20,ASTA 1.0 GDI TURBO DCT,Automatic,"19,053 km",1st Owner,Petrol,KA-53,"19,605/month","10,30,000","Sonnappanahalli
",Bangalore
405,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"59,930 km",2nd Owner,Petrol,KA-01,"14,076/month","7,20,000","Bellahalli, Bengaluru",Bangalore
406,2013 Maruti Swift,LXI,Manual,"44,437 km",1st Owner,Petrol,KA-01,"8,504/month","4,35,000","Bellahalli, Bengaluru",Bangalore
407,2017 Hyundai Elite i20,ASTA 1.2,Manual,"44,843 km",1st Owner,Petrol,KA-05,"13,060/month","6,68,000","Bellahalli, Bengaluru",Bangalore
408,2016 Hyundai Elite i20,ASTA 1.2,Manual,"59,734 km",2nd Owner,Petrol,KA-05,"12,219/month","6,25,000","Bellahalli, Bengaluru",Bangalore
409,2019 Renault Duster,110 PS RXS 4X2 AMT DIESEL,Automatic,"32,307 km",1st Owner,Diesel,KA-50,"18,615/month","9,78,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
410,2016 Honda Jazz,1.2L I-VTEC V,Manual,"63,797 km",1st Owner,Petrol,KA-41,"12,023/month","6,15,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
411,2022 MG HECTOR,SMART 1.5 PETROL CVT,Automatic,"5,030 km",1st Owner,Petrol,KA-01,"35,575/month","18,69,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
412,2016 Renault Kwid,RXT 0.8 (O),Manual,"38,702 km",1st Owner,Petrol,KA-51,"6,960/month","3,56,000","Sonnappanahalli
",Bangalore
413,2017 Honda Jazz,1.2L I-VTEC V AT,Automatic,"28,117 km",2nd Owner,Petrol,KA-02,"13,490/month","6,90,000","Bellahalli, Bengaluru",Bangalore
414,2017 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"86,046 km",1st Owner,Petrol,KA-21,"10,166/month","5,20,000","Horamavu Agara Road, Bengaluru",Bangalore
415,2016 Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,"41,682 km",1st Owner,Petrol,KA-01,"10,381/month","5,31,000","Bellahalli, Bengaluru",Bangalore
416,2015 Renault Kwid,RXT 0.8,Manual,"84,990 km",1st Owner,Petrol,KA-05,"6,080/month","3,11,000","Bellahalli, Bengaluru",Bangalore
417,2011 Maruti Alto K10,VXI,Manual,"58,552 km",1st Owner,Petrol,KA-05,"4,614/month","2,36,000","Hosur Road, Singasandra, Bengaluru",Bangalore
418,2015 Renault Duster,85 PS RXL PLUS DIESEL,Manual,"68,845 km",2nd Owner,Diesel,KA-53,"13,216/month","6,76,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
419,2016 Hyundai Elite i20,ASTA 1.2 (O),Manual,"72,362 km",1st Owner,Petrol,KA-03,"12,903/month","6,60,000","Bellahalli, Bengaluru",Bangalore
420,2022 Maruti Ciaz,ZETA 1.5 SHVS MT PETROL,Manual,"13,301 km",1st Owner,Petrol,KA-19,"18,996/month","9,98,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
421,2018 Honda City,1.5L I-VTEC V MT,Manual,"26,922 km",1st Owner,Petrol,KA-01,"15,570/month","8,18,000","Bellahalli, Bengaluru",Bangalore
422,2021 Renault Kiger,RXZ TURBO CVT,Automatic,"7,598 km",1st Owner,Petrol,KA-03,"18,482/month","9,71,000","Hosur Road, Singasandra, Bengaluru",Bangalore
423,2021 Hyundai Verna,SX 1.5 CRDI,Manual,"28,834 km",2nd Owner,Diesel,KA-03,"23,279/month","12,23,000","Horamavu Agara Road, Bengaluru",Bangalore
424,2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"29,453 km",2nd Owner,Petrol,KA-01,"9,697/month","4,96,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
425,2020 Maruti Celerio,ZXI,Manual,"27,528 km",1st Owner,Petrol,KA-11,"10,225/month","5,23,000","Bellahalli, Bengaluru",Bangalore
426,2020 Hyundai Creta,SX (O) 1.4 TURBO DCT,Automatic,"30,113 km",1st Owner,Petrol,KA-41,"31,920/month","16,77,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
427,2013 Honda Brio,S MT,Manual,"78,871 km",2nd Owner,Petrol,KA-41,"6,764/month","3,46,000","Bellahalli, Bengaluru",Bangalore
428,2013 Hyundai i10,SPORTZ 1.2 AT,Automatic,"78,272 km",2nd Owner,Petrol,KA-53,"6,540/month","3,34,500","Hosur Road, Singasandra, Bengaluru",Bangalore
429,2017 Maruti Ciaz,ZXI+,Manual,"72,996 km",2nd Owner,Petrol,KA-05,"14,115/month","7,22,000","Hosur Road, Singasandra, Bengaluru",Bangalore
430,2014 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"60,008 km",2nd Owner,Petrol,KA-04,"7,722/month","3,95,000","Bellahalli, Bengaluru",Bangalore
431,2010 Hyundai i10,MAGNA 1.2,Manual,"62,726 km",1st Owner,Petrol,KA-03,"5,396/month","2,76,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
432,2013 Maruti Swift,LXI,Manual,"57,779 km",1st Owner,Petrol,KA-41,"8,387/month","4,29,000","Hosur Road, Singasandra, Bengaluru",Bangalore
433,2017 Maruti Swift,ZXI,Manual,"52,382 km",1st Owner,Petrol,KA-25,"12,825/month","6,56,000","Horamavu Agara Road, Bengaluru",Bangalore
434,2022 Maruti Celerio,VXI,Manual,"46,679 km",1st Owner,Petrol,KA-02,"11,144/month","5,70,000","GT World Mall, Bengaluru",Bangalore
435,2017 Skoda Rapid,AMBITION 1.6 MPI MT,Manual,"1,24,707 km",2nd Owner,Petrol,KA-01,"12,551/month","6,42,000","Bellahalli, Bengaluru",Bangalore
436,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"32,168 km",1st Owner,Petrol,KA-03,"9,228/month","4,72,000","Bellahalli, Bengaluru",Bangalore
437,2018 Maruti Celerio X,ZXI (O),Manual,"61,576 km",2nd Owner,Petrol,KA-51,"9,149/month","4,68,000","Bellahalli, Bengaluru",Bangalore
438,2016 Maruti Swift Dzire,ZDI AMT,Automatic,"31,093 km",1st Owner,Diesel,KA-05,"13,509/month","6,91,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
439,2017 Maruti Swift,ZXI,Manual,"40,811 km",2nd Owner,Petrol,KA-03,"12,062/month","6,17,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
440,2017 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"33,324 km",1st Owner,Petrol,KA-04,"13,842/month","7,08,000","Bellahalli, Bengaluru",Bangalore
441,2017 Maruti Dzire,ZXI PLUS,Manual,"18,097 km",1st Owner,Petrol,KA-04,"14,526/month","7,43,000","Bellahalli, Bengaluru",Bangalore
442,2018 Maruti Celerio,VXI AMT,Automatic,"19,557 km",2nd Owner,Petrol,KA-03,"9,775/month","5,00,000","Hosur Road, Singasandra, Bengaluru",Bangalore
443,2018 Hyundai Elite i20,ASTA 1.2 DUAL TONE,Manual,"55,152 km",1st Owner,Petrol,KA-53,"13,881/month","7,10,000","Hosur Road, Singasandra, Bengaluru",Bangalore
444,2016 Maruti S Cross,ZETA 1.3,Manual,"76,836 km",2nd Owner,Diesel,KA-05,"15,073/month","7,71,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
445,2017 Maruti Celerio,ZXI AMT (O),Automatic,"86,678 km",3rd Owner,Petrol,KA-01,"8,192/month","4,19,000","Hosur Road, Singasandra, Bengaluru",Bangalore
446,2011 Hyundai i10,SPORTZ 1.2 AT,Automatic,"79,363 km",2nd Owner,Petrol,KA-05,"6,119/month","3,13,000","Hosur Road, Singasandra, Bengaluru",Bangalore
447,2011 Hyundai i10,SPORTZ 1.2,Manual,"89,678 km",1st Owner,Petrol,KA-55,"5,650/month","2,89,000","Hosur Road, Singasandra, Bengaluru",Bangalore
448,2019 Hyundai Creta,SX AT 1.6 PETROL,Automatic,"42,892 km",2nd Owner,Petrol,KA-04,"21,470/month","11,28,000","Bellahalli, Bengaluru",Bangalore
449,2016 Maruti Swift Dzire,VXI,Manual,"85,863 km",2nd Owner,Petrol,KA-51,"11,105/month","5,68,000","GT World Mall, Bengaluru",Bangalore
450,2016 Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,Automatic,"88,119 km",2nd Owner,Petrol,KA-05,"10,029/month","5,13,000","Sonnappanahalli
",Bangalore
451,2014 Maruti Celerio,VXI AMT,Automatic,"88,213 km",2nd Owner,Petrol,KA-50,"7,410/month","3,79,000","Hosur Road, Singasandra, Bengaluru",Bangalore
452,2017 Volkswagen Ameo,HIGHLINE PLUS 1.5L AT 16 ALLOY,Automatic,"87,012 km",2nd Owner,Diesel,KA-25,"11,652/month","5,96,000","Bellahalli, Bengaluru",Bangalore
453,2016 Hyundai Elite i20,ASTA 1.2 (O),Manual,"57,459 km",1st Owner,Petrol,KA-53,"11,965/month","6,12,000","Bellahalli, Bengaluru",Bangalore
454,2015 Maruti Swift,VXI,Manual,"45,513 km",1st Owner,Petrol,KA-51,"10,401/month","5,32,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
455,2017 Maruti Swift,VXI O,Manual,"48,201 km",1st Owner,Petrol,KA-03,"11,476/month","5,87,000","Horamavu Agara Road, Bengaluru",Bangalore
456,2018 Renault Kwid,RXT 1.0 EASY-R  AT,Automatic,"74,022 km",2nd Owner,Petrol,KA-53,"7,644/month","3,91,000","GT World Mall, Bengaluru",Bangalore
457,2018 Maruti Celerio,ZXI,Manual,"51,877 km",3rd Owner,Petrol,KA-02,"9,306/month","4,76,000","Horamavu Agara Road, Bengaluru",Bangalore
458,2016 Maruti Ciaz,ZXI,Manual,"89,801 km",1st Owner,Petrol,KA-05,"13,705/month","7,01,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
459,2013 Hyundai i20,ASTA 1.4 CRDI,Manual,"1,24,514 km",1st Owner,Diesel,KA-51,"9,103/month","4,65,600","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
460,2013 Honda Amaze,1.5L I-DTEC VX,Manual,"97,658 km",1st Owner,Diesel,KA-01,"8,133/month","4,16,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
461,2022 Tata ALTROZ,XZA PLUS,Automatic,"14,257 km",1st Owner,Petrol,KA-01,"17,873/month","9,39,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
462,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"31,614 km",1st Owner,Petrol,KA-03,"9,091/month","4,65,000","GT World Mall, Bengaluru",Bangalore
463,2016 Maruti Ciaz,ZDI SHVS,Manual,"79,824 km",1st Owner,Diesel,KA-01,"13,626/month","6,97,000","Bellahalli, Bengaluru",Bangalore
464,2021 Hyundai Verna,SX (O) 1.5 VTVT IVT,Automatic,"43,353 km",1st Owner,Petrol,KA-05,"25,506/month","13,40,000","Horamavu Agara Road, Bengaluru",Bangalore
465,2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"17,190 km",1st Owner,Petrol,KA-03,"11,202/month","5,73,000","Bellahalli, Bengaluru",Bangalore
466,2016 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"29,302 km",1st Owner,Diesel,KA-01,"14,897/month","7,62,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
467,2012 Maruti Swift,VXI,Manual,"60,606 km",2nd Owner,Petrol,KA-41,"8,661/month","4,43,000","Bellahalli, Bengaluru",Bangalore
